what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.core.io,3.0.3.1337406272,"com.aptana.core.io",1412783052751
started,bundle,com.aptana.deploy,3.0.3.1337406272,"com.aptana.deploy",1412783052760
started,bundle,com.aptana.editor.php.epl,3.0.0.1336437459,"com.aptana.editor.php.epl",1412783052770
started,bundle,com.aptana.explorer,3.0.0.1337406272,"com.aptana.explorer",1412783052783
started,bundle,com.aptana.git.core,3.0.0.1337406272,"com.aptana.git.core",1412783052809
started,bundle,com.aptana.git.ui,3.0.3.1337406272,"com.aptana.git.ui",1412783052811
started,bundle,com.aptana.syncing.core,3.0.0.1337406272,"com.aptana.syncing.core",1412783052826
started,bundle,com.aptana.syncing.ui,3.0.3.1337406272,"com.aptana.syncing.ui",1412783052828
started,bundle,com.aptana.ui,3.1.3.1337406272,"com.aptana.ui",1412783052841
started,bundle,com.aptana.ui.io,3.0.0.1337406272,"com.aptana.ui.io",1412783052863
started,bundle,com.python.pydev.analysis,2.6.0.2012052102,"com.python.pydev.analysis",1412783052898
started,bundle,org.python.pydev,2.6.0.2012052102,"org.python.pydev",1412783052898
started,bundle,org.python.pydev.core,2.6.0.2012052102,"org.python.pydev.core",1412783052926
started,bundle,com.google.gdt.eclipse.core,3.1.1.v201210291353-rel-r37,"com.google.gdt.eclipse.core",1412783052949
started,bundle,com.google.gdt.eclipse.login,3.1.1.v201210291353-rel-r37,"com.google.gdt.eclipse.login",1412783052950
started,bundle,com.google.gdt.eclipse.managedapis,3.1.1.v201210291353-rel-r37,"com.google.gdt.eclipse.managedapis",1412783052950
started,bundle,com.google.gdt.eclipse.suite.ext,3.1.1.v201210291353-rel-r37,"com.google.gdt.eclipse.suite.ext",1412783052950
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1412783052951
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1412783052964
started,bundle,org.eclipse.mylyn.commons.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.core",1412783052964
started,bundle,org.eclipse.mylyn.commons.net,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.net",1412783052964
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.core",1412783052965
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.feed",1412783052965
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1412783052976
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1412783052981
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1412783052981
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1412783052982
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1412783052983
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1412783052997
os,sysinfo,,,"macosx",1412783052999
arch,sysinfo,,,"x86_64",1412783052999
ws,sysinfo,,,"cocoa",1412783052999
locale,sysinfo,,,"en_US",1412783052999
processors,sysinfo,,,"4",1412783052999
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1412783052999
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1412783052999
java.specification.name,sysinfo,,,"Java Platform API Specification",1412783052999
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1412783052999
java.specification.version,sysinfo,,,"1.6",1412783052999
java.vendor,sysinfo,,,"Apple Inc.",1412783052999
java.version,sysinfo,,,"1.6.0_65",1412783052999
java.vm.info,sysinfo,,,"mixed mode",1412783052999
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1412783052999
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1412783052999
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1412783052999
java.vm.specification.version,sysinfo,,,"1.0",1412783052999
java.vm.vendor,sysinfo,,,"Apple Inc.",1412783052999
java.vm.version,sysinfo,,,"20.65-b04-462",1412783052999
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1412783053071
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1412783053107
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1412783053141
started,bundle,com.aptana.theme,3.0.0.1337868207,"com.aptana.theme",1412783053169
started,bundle,com.aptana.eclipse.fullscreen.ui,1.0.4.1335481102,"com.aptana.eclipse.fullscreen.ui",1412783053170
started,bundle,com.aptana.portal.ui,3.0.0.1337406272,"com.aptana.portal.ui",1412783053182
started,bundle,com.aptana.filewatcher,3.0.1.1337406272,"com.aptana.filewatcher",1412783053802
started,bundle,com.aptana.scripting,3.0.0.1337406272,"com.aptana.scripting",1412783053886
started,bundle,com.aptana.scripting.ui,3.0.0.1337868207,"com.aptana.scripting.ui",1412783053888
started,bundle,beaver,3.0.0.1330991996,"beaver",1412783053924
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1412783053948
started,bundle,com.aptana.usage,3.0.0.1338353394,"com.aptana.usage",1412783054365
started,bundle,org.python.pydev.red_core,2.6.0.2012052102,"org.python.pydev.red_core",1412783054607
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1412783055163
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1412783055857
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1412783056463
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1412783056581
started,bundle,com.google.gdt.eclipse.designer,2.6.0.r37x201206111227,"com.google.gdt.eclipse.designer",1412783056606
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1412783056678
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.6.0.r37x201206111227,"com.google.gdt.eclipse.designer.UiBinder",1412783056868
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1412783056949
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1412783058070
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1412783058072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412783058478
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1412783058992
started,bundle,com.aptana.browser,3.0.0.1337406272,"com.aptana.browser",1412783059400
started,bundle,com.aptana.configurations,3.0.3.1337406272,"com.aptana.configurations",1412783059415
